gene_symbol	moi
COL3A1	BIALLELIC, autosomal or pseudoautosomal
COL3A1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
COPA	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
COPA	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CREB3L1	BIALLELIC, autosomal or pseudoautosomal
CRIPT	BIALLELIC, autosomal or pseudoautosomal
CRTAP	BIALLELIC, autosomal or pseudoautosomal
CRYM	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CSF2RB	BIALLELIC, autosomal or pseudoautosomal
CSF3R	BIALLELIC, autosomal or pseudoautosomal
CXCR4	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
CXCR4	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CYBA	BIALLELIC, autosomal or pseudoautosomal
CYP11A1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
CYP11A1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
CYP11B1	BIALLELIC, autosomal or pseudoautosomal
CYP11B1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
CYP4F22	BIALLELIC, autosomal or pseudoautosomal
DAW1	BIALLELIC, autosomal or pseudoautosomal
DCLRE1C	BIALLELIC, autosomal or pseudoautosomal
DCT	BIALLELIC, autosomal or pseudoautosomal
DDRGK1	BIALLELIC, autosomal or pseudoautosomal
DFNA5	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
DFNB59	BIALLELIC, autosomal or pseudoautosomal
DGKE	BIALLELIC, autosomal or pseudoautosomal
DNAH9	BIALLELIC, autosomal or pseudoautosomal
DNAJB11	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
DNAJB11	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
DOCK2	BIALLELIC, autosomal or pseudoautosomal
DOT1L	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
DOT1L	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
DRG1	BIALLELIC, autosomal or pseudoautosomal
DZIP1L	BIALLELIC, autosomal or pseudoautosomal
EFEMP2	BIALLELIC, autosomal or pseudoautosomal
ELANE	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
EPRS	BIALLELIC, autosomal or pseudoautosomal
EPS8	BIALLELIC, autosomal or pseudoautosomal
EPS8L2	BIALLELIC, autosomal or pseudoautosomal
ERLIN1	BIALLELIC, autosomal or pseudoautosomal
ESRRB	BIALLELIC, autosomal or pseudoautosomal
EXOC6B	BIALLELIC, autosomal or pseudoautosomal
EXOSC9	BIALLELIC, autosomal or pseudoautosomal
FAM46A	BIALLELIC, autosomal or pseudoautosomal
FAN1	BIALLELIC, autosomal or pseudoautosomal
FAT1	BIALLELIC, autosomal or pseudoautosomal
FGF4	BIALLELIC, autosomal or pseudoautosomal
FGF8	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
FGF8	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
FGF8	Unknown
FHOD3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
FKBP10	BIALLELIC, autosomal or pseudoautosomal
FOXJ1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
FOXJ1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
FZD2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
FZD2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
GANAB	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
GANAB	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
GDF11	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
GDF11	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
GIPC3	BIALLELIC, autosomal or pseudoautosomal
GJB6	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
GLDN	BIALLELIC, autosomal or pseudoautosomal
GLI1	BIALLELIC, autosomal or pseudoautosomal
GON7	BIALLELIC, autosomal or pseudoautosomal
GPC6	BIALLELIC, autosomal or pseudoautosomal
GPKOW	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
GPR156	BIALLELIC, autosomal or pseudoautosomal
GPX4	BIALLELIC, autosomal or pseudoautosomal
GRXCR1	BIALLELIC, autosomal or pseudoautosomal
GRXCR2	BIALLELIC, autosomal or pseudoautosomal
GZF1	BIALLELIC, autosomal or pseudoautosomal
HES7	BIALLELIC, autosomal or pseudoautosomal
HGF	BIALLELIC, autosomal or pseudoautosomal
HHAT	BIALLELIC, autosomal or pseudoautosomal
HMGA2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
HMGA2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
HMGCR	BIALLELIC, autosomal or pseudoautosomal
HPCA	BIALLELIC, autosomal or pseudoautosomal
IL10RA	BIALLELIC, autosomal or pseudoautosomal
IL10RB	BIALLELIC, autosomal or pseudoautosomal
IL2RG	X-LINKED: hemizygous mutation in males, biallelic mutations in females
IL2RG	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
IL6ST	BIALLELIC, autosomal or pseudoautosomal
IL6ST	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
ILDR1	BIALLELIC, autosomal or pseudoautosomal
ITGB2	BIALLELIC, autosomal or pseudoautosomal
KCNJ1	BIALLELIC, autosomal or pseudoautosomal
KCNQ4	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal
KDELR2	BIALLELIC, autosomal or pseudoautosomal
KIAA1024L	BIALLELIC, autosomal or pseudoautosomal
KIF24	BIALLELIC, autosomal or pseudoautosomal
KLHL3	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
KY	BIALLELIC, autosomal or pseudoautosomal
LEF1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
LEF1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
LHFPL5	BIALLELIC, autosomal or pseudoautosomal
LMX1A	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
LRRC56	BIALLELIC, autosomal or pseudoautosomal
LRTOMT	BIALLELIC, autosomal or pseudoautosomal
LTBP1	BIALLELIC, autosomal or pseudoautosomal
MAGED2	X-LINKED: hemizygous mutation in males, biallelic mutations in females
MARVELD2	BIALLELIC, autosomal or pseudoautosomal
MC4R	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal
MDFIC	BIALLELIC, autosomal or pseudoautosomal
MEOX1	BIALLELIC, autosomal or pseudoautosomal
MESD	BIALLELIC, autosomal or pseudoautosomal
MIR184	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
MLIP	BIALLELIC, autosomal or pseudoautosomal
MPZL2	BIALLELIC, autosomal or pseudoautosomal
MSRB3	BIALLELIC, autosomal or pseudoautosomal
MYL9	BIALLELIC, autosomal or pseudoautosomal
MYLK3	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
MYLPF	BIALLELIC, autosomal or pseudoautosomal
MYMX	BIALLELIC, autosomal or pseudoautosomal
MYO1E	BIALLELIC, autosomal or pseudoautosomal
MYO3A	BIALLELIC, autosomal or pseudoautosomal
MYRF	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
MYZAP	BIALLELIC, autosomal or pseudoautosomal
NCF1	BIALLELIC, autosomal or pseudoautosomal
NCF2	BIALLELIC, autosomal or pseudoautosomal
NECTIN4	BIALLELIC, autosomal or pseudoautosomal
NEPRO	BIALLELIC, autosomal or pseudoautosomal
NEUROG3	BIALLELIC, autosomal or pseudoautosomal
NF2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
NFE2L2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
NIPAL4	BIALLELIC, autosomal or pseudoautosomal
NR0B1	X-LINKED: hemizygous mutation in males, biallelic mutations in females
NR0B1	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
NR3C2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
NRAP	BIALLELIC, autosomal or pseudoautosomal
NUP54	BIALLELIC, autosomal or pseudoautosomal
NUP93	BIALLELIC, autosomal or pseudoautosomal
NXN	BIALLELIC, autosomal or pseudoautosomal
OAS1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
OAS1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
ONECUT1	BIALLELIC, autosomal or pseudoautosomal
OSBPL2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
OTOA	BIALLELIC, autosomal or pseudoautosomal
OTOF	BIALLELIC, autosomal or pseudoautosomal
OTOG	BIALLELIC, autosomal or pseudoautosomal
P2RX2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
P3H2	BIALLELIC, autosomal or pseudoautosomal
PCSK1	BIALLELIC, autosomal or pseudoautosomal
PDE3A	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
PDE3A	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PIH1D3	X-LINKED: hemizygous mutation in males, biallelic mutations in females
PIK3CD	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
PIK3CD	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PKDCC	BIALLELIC, autosomal or pseudoautosomal
PKHD1L1	BIALLELIC, autosomal or pseudoautosomal
PLAG1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
PLAG1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PLG	BIALLELIC, autosomal or pseudoautosomal
PLG	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
PLS1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
PLS3	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
POLR1B	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
POLR1B	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
POU3F4	X-LINKED: hemizygous mutation in males, biallelic mutations in females
POU4F1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
POU4F1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
POU4F3	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
PPCS	BIALLELIC, autosomal or pseudoautosomal
PPIB	BIALLELIC, autosomal or pseudoautosomal
PRDX3	BIALLELIC, autosomal or pseudoautosomal
PRKACA	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
PRKACA	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PTPN14	BIALLELIC, autosomal or pseudoautosomal
PTPRQ	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
RAB33B	BIALLELIC, autosomal or pseudoautosomal
RAB34	BIALLELIC, autosomal or pseudoautosomal
RAB7A	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
RAG1	BIALLELIC, autosomal or pseudoautosomal
RAG2	BIALLELIC, autosomal or pseudoautosomal
RCC1	BIALLELIC, autosomal or pseudoautosomal
RDX	BIALLELIC, autosomal or pseudoautosomal
REST	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
REST	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
RIMS2	BIALLELIC, autosomal or pseudoautosomal
RIPPLY2	BIALLELIC, autosomal or pseudoautosomal
RPL3L	BIALLELIC, autosomal or pseudoautosomal
RSPO2	BIALLELIC, autosomal or pseudoautosomal
S1PR2	BIALLELIC, autosomal or pseudoautosomal
SASS6	BIALLELIC, autosomal or pseudoautosomal
SCUBE3	BIALLELIC, autosomal or pseudoautosomal
SDR9C7	BIALLELIC, autosomal or pseudoautosomal
SEMA3A	BIALLELIC, autosomal or pseudoautosomal
SERPINB6	BIALLELIC, autosomal or pseudoautosomal
SERPINF1	BIALLELIC, autosomal or pseudoautosomal
SERPINH1	BIALLELIC, autosomal or pseudoautosomal
SH2D1A	X-LINKED: hemizygous mutation in males, biallelic mutations in females
SH2D1A	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
SIX2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SLC10A7	BIALLELIC, autosomal or pseudoautosomal
SLC12A1	BIALLELIC, autosomal or pseudoautosomal
SLC17A8	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SLC26A3	BIALLELIC, autosomal or pseudoautosomal
SLC26A5	BIALLELIC, autosomal or pseudoautosomal
SLC38A8	BIALLELIC, autosomal or pseudoautosomal
SLF2	BIALLELIC, autosomal or pseudoautosomal
SLITRK6	BIALLELIC, autosomal or pseudoautosomal
SMC5	BIALLELIC, autosomal or pseudoautosomal
SOST	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
SP7	BIALLELIC, autosomal or pseudoautosomal
SPARC	BIALLELIC, autosomal or pseudoautosomal
SPTA1	BIALLELIC, autosomal or pseudoautosomal
SPTA1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
SPTSSA	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SPTSSA	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
STK11	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
STRC	BIALLELIC, autosomal or pseudoautosomal
SULT2B1	BIALLELIC, autosomal or pseudoautosomal
SYNE4	BIALLELIC, autosomal or pseudoautosomal
TBX6	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
TBX6	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TDRD7	BIALLELIC, autosomal or pseudoautosomal
TECTA	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
TGM1	BIALLELIC, autosomal or pseudoautosomal
TMC1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
TMEM173	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
TMEM173	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TMEM251	BIALLELIC, autosomal or pseudoautosomal
TMEM38B	BIALLELIC, autosomal or pseudoautosomal
TMEM63A	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
TMEM63A	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TMIE	BIALLELIC, autosomal or pseudoautosomal
TMPRSS3	BIALLELIC, autosomal or pseudoautosomal
TNNC2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TNNI1	BIALLELIC, autosomal or pseudoautosomal
TNNI1	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal
TONSL	BIALLELIC, autosomal or pseudoautosomal
TPRN	BIALLELIC, autosomal or pseudoautosomal
TRIM71	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
TRIM71	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TRIOBP	BIALLELIC, autosomal or pseudoautosomal
TRPA1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TRPC6	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
TRPV6	BIALLELIC, autosomal or pseudoautosomal
UBA2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
UBA2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
UBAP1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
UBQLN2	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
USP14	BIALLELIC, autosomal or pseudoautosomal
USP48	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
VMA21	X-LINKED: hemizygous mutation in males, biallelic mutations in females
VPS45	BIALLELIC, autosomal or pseudoautosomal
WDR44	X-LINKED: hemizygous mutation in males, biallelic mutations in females
WIPF1	BIALLELIC, autosomal or pseudoautosomal
WNK4	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
WNT7B	BIALLELIC, autosomal or pseudoautosomal
CACNB4	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
CACNB4	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
CACNB4	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SIX5	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SIX5	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PSEN1	BIALLELIC, autosomal or pseudoautosomal
PSEN1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
PSEN1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
HARS	BIALLELIC, autosomal or pseudoautosomal
HARS	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SLC35A3	BIALLELIC, autosomal or pseudoautosomal
ZNF423	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
BORCS5	BIALLELIC, autosomal or pseudoautosomal
NUP62	BIALLELIC, autosomal or pseudoautosomal
PMP22	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
PMP22	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
PMP22	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PMP22	Unknown
RAD51C	BIALLELIC, autosomal or pseudoautosomal
RANBP2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
RANBP2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
RPGR	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
WSB2	BIALLELIC, autosomal or pseudoautosomal
ABI2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
AGPAT2	BIALLELIC, autosomal or pseudoautosomal
CDC42BPB	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
CDC42BPB	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
EXOC7	BIALLELIC, autosomal or pseudoautosomal
FZD6	BIALLELIC, autosomal or pseudoautosomal
GNAL	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
GNAL	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
LRRC32	BIALLELIC, autosomal or pseudoautosomal
LRRC32	Unknown
MAGI2	BIALLELIC, autosomal or pseudoautosomal
MAGI2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
MAGI2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PARK7	BIALLELIC, autosomal or pseudoautosomal
PLOD3	BIALLELIC, autosomal or pseudoautosomal
PREPL	BIALLELIC, autosomal or pseudoautosomal
PRX	BIALLELIC, autosomal or pseudoautosomal
PRX	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
RPS6KC1	BIALLELIC, autosomal or pseudoautosomal
SHROOM4	X-LINKED: hemizygous mutation in males, biallelic mutations in females
SLC45A1	BIALLELIC, autosomal or pseudoautosomal
TGM6	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
UFC1	BIALLELIC, autosomal or pseudoautosomal
UQCRQ	BIALLELIC, autosomal or pseudoautosomal
VPS50	BIALLELIC, autosomal or pseudoautosomal
AP1B1	BIALLELIC, autosomal or pseudoautosomal
ATP2B3	X-LINKED: hemizygous mutation in males, biallelic mutations in females
BRF2	BIALLELIC, autosomal or pseudoautosomal
C16ORF62	BIALLELIC, autosomal or pseudoautosomal
CAMK2G	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CCDC65	BIALLELIC, autosomal or pseudoautosomal
CCNO	BIALLELIC, autosomal or pseudoautosomal
CELF4	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
CELF4	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CLCNKA	BIALLELIC, autosomal or pseudoautosomal
CLCNKA	Other
CPSF3	BIALLELIC, autosomal or pseudoautosomal
EDA	X-LINKED: hemizygous mutation in males, biallelic mutations in females
FGD4	BIALLELIC, autosomal or pseudoautosomal
FICD	BIALLELIC, autosomal or pseudoautosomal
GAS8	BIALLELIC, autosomal or pseudoautosomal
GJB3	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
GJB3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
GLMN	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
GLMN	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
GPR179	BIALLELIC, autosomal or pseudoautosomal
GREM1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
GREM1	Unknown
HYDIN	BIALLELIC, autosomal or pseudoautosomal
IDH1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
IDH1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
IDH1	Unknown
IDH3B	BIALLELIC, autosomal or pseudoautosomal
IDH3B	Unknown
ITGAV	BIALLELIC, autosomal or pseudoautosomal
KIF26A	BIALLELIC, autosomal or pseudoautosomal
LEMD3	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
LEMD3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
MIR17HG	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
MIR17HG	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
NEFL	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
NEFL	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PISD	BIALLELIC, autosomal or pseudoautosomal
RAD50	BIALLELIC, autosomal or pseudoautosomal
RNPC3	BIALLELIC, autosomal or pseudoautosomal
RSPH1	BIALLELIC, autosomal or pseudoautosomal
SGCD	BIALLELIC, autosomal or pseudoautosomal
SGCD	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
SKOR2	BIALLELIC, autosomal or pseudoautosomal
SLC31A1	BIALLELIC, autosomal or pseudoautosomal
SNCA	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
STX11	BIALLELIC, autosomal or pseudoautosomal
VDR	BIALLELIC, autosomal or pseudoautosomal
VDR	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
WNT3	BIALLELIC, autosomal or pseudoautosomal
YAP1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
YAP1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
YARS	BIALLELIC, autosomal or pseudoautosomal
YARS	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
AK1	BIALLELIC, autosomal or pseudoautosomal
ASPH	BIALLELIC, autosomal or pseudoautosomal
ATP2A2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
ATP2A2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
AVPR2	X-LINKED: hemizygous mutation in males, biallelic mutations in females
AVPR2	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
BBIP1	BIALLELIC, autosomal or pseudoautosomal
BMP15	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
C1QA	BIALLELIC, autosomal or pseudoautosomal
C1QC	BIALLELIC, autosomal or pseudoautosomal
C4ORF26	BIALLELIC, autosomal or pseudoautosomal
CCT3	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
CCT3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CEP295	BIALLELIC, autosomal or pseudoautosomal
CFAP47	Unknown
CFAP47	X-LINKED: hemizygous mutation in males, biallelic mutations in females
CFP	X-LINKED: hemizygous mutation in males, biallelic mutations in females
CHRDL1	X-LINKED: hemizygous mutation in males, biallelic mutations in females
CTNND2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
DDX58	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
DDX58	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
DMP1	BIALLELIC, autosomal or pseudoautosomal
DOCK11	X-LINKED: hemizygous mutation in males, biallelic mutations in females
DOCK11	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
DONSON	BIALLELIC, autosomal or pseudoautosomal
FEM1C	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
FEM1C	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
FRYL	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
FRYL	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
FTO	BIALLELIC, autosomal or pseudoautosomal
GATB	BIALLELIC, autosomal or pseudoautosomal
GON4L	BIALLELIC, autosomal or pseudoautosomal
HEATR3	BIALLELIC, autosomal or pseudoautosomal
HOXC13	BIALLELIC, autosomal or pseudoautosomal
HPGD	BIALLELIC, autosomal or pseudoautosomal
HPGD	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
IFNAR2	BIALLELIC, autosomal or pseudoautosomal
IPO8	BIALLELIC, autosomal or pseudoautosomal
KCTD1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
LCA5	BIALLELIC, autosomal or pseudoautosomal
LDB1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
LITAF	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
LRRK1	BIALLELIC, autosomal or pseudoautosomal
LRRK2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
LSM1	BIALLELIC, autosomal or pseudoautosomal
MCM9	BIALLELIC, autosomal or pseudoautosomal
MRAP	BIALLELIC, autosomal or pseudoautosomal
MTHFD1	BIALLELIC, autosomal or pseudoautosomal
MTMR2	BIALLELIC, autosomal or pseudoautosomal
MYT1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
MYT1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
NDRG1	BIALLELIC, autosomal or pseudoautosomal
NDRG1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
NOP10	BIALLELIC, autosomal or pseudoautosomal
NPR3	BIALLELIC, autosomal or pseudoautosomal
NUP85	BIALLELIC, autosomal or pseudoautosomal
PAICS	BIALLELIC, autosomal or pseudoautosomal
PAK2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
PAX9	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PIGY	BIALLELIC, autosomal or pseudoautosomal
PLA2G16	BIALLELIC, autosomal or pseudoautosomal
RNF168	BIALLELIC, autosomal or pseudoautosomal
RNU12	BIALLELIC, autosomal or pseudoautosomal
RPS23	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
RSPH3	BIALLELIC, autosomal or pseudoautosomal
RSPO4	BIALLELIC, autosomal or pseudoautosomal
SCNM1	BIALLELIC, autosomal or pseudoautosomal
SELENOI	BIALLELIC, autosomal or pseudoautosomal
SGCA	BIALLELIC, autosomal or pseudoautosomal
SH3TC2	BIALLELIC, autosomal or pseudoautosomal
SH3TC2	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
SLC39A13	BIALLELIC, autosomal or pseudoautosomal
SLC5A2	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
SMARCC1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SMARCC1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SMARCD2	BIALLELIC, autosomal or pseudoautosomal
SREBF2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
STAT2	BIALLELIC, autosomal or pseudoautosomal
SYNE2	BIALLELIC, autosomal or pseudoautosomal
SYNE2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SYNE2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TAF13	BIALLELIC, autosomal or pseudoautosomal
TBC1D8B	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
TBX22	X-LINKED: hemizygous mutation in males, biallelic mutations in females
TBX22	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
TBXAS1	BIALLELIC, autosomal or pseudoautosomal
